Omega,Dw,model,V,Delta_BC_at_Dw
5.6234132519e+00,1.000000e+02,C,4.662901184766e-01,3.947636e-06
6.8129206906e+00,1.000000e+02,A,3.107267633885e-01,5.791769e-06
6.8129206906e+00,1.000000e+02,B,4.662866919230e-01,5.791769e-06
6.8129206906e+00,1.000000e+02,C,4.662893925636e-01,5.791769e-06
8.2540418527e+00,1.000000e+02,A,3.107267516748e-01,8.495755e-06
8.2540418527e+00,1.000000e+02,B,4.662848168196e-01,8.495755e-06
8.2540418527e+00,1.000000e+02,C,4.662887782950e-01,8.495755e-06
1.0000000000e+01,1.000000e+02,A,3.107267393024e-01,1.245871e-05
1.0000000000e+01,1.000000e+02,B,4.662825610361e-01,1.245871e-05
1.0000000000e+01,1.000000e+02,C,4.662883703854e-01,1.245871e-05
1.2115276586e+01,1.000000e+02,A,3.107267263951e-01,1.826290e-05
1.2115276586e+01,1.000000e+02,B,4.662797946607e-01,1.826290e-05
1.2115276586e+01,1.000000e+02,C,4.662883104376e-01,1.826290e-05
1.4677992676e+01,1.000000e+02,A,3.107267131400e-01,2.675573e-05
1.4677992676e+01,1.000000e+02,B,4.662763318674e-01,2.675573e-05
1.4677992676e+01,1.000000e+02,C,4.662888077626e-01,2.675573e-05
1.7782794100e+01,1.000000e+02,A,3.107266997943e-01,3.916488e-05
1.7782794100e+01,1.000000e+02,B,4.662719051416e-01,3.916488e-05
1.7782794100e+01,1.000000e+02,C,4.662901673414e-01,3.916488e-05
2.1544346900e+01,1.000000e+02,A,3.107266866806e-01,5.724034e-05
2.1544346900e+01,1.000000e+02,B,4.662661033996e-01,5.724034e-05
2.1544346900e+01,1.000000e+02,C,4.662927941559e-01,5.724034e-05
2.6101572157e+01,1.000000e+02,A,3.107266741670e-01,8.356500e-05
2.6101572157e+01,1.000000e+02,B,4.662583701886e-01,8.356500e-05
2.6101572157e+01,1.000000e+02,C,4.662973363247e-01,8.356500e-05
3.1622776602e+01,1.000000e+02,A,3.107266626260e-01,1.216613e-04
3.1622776602e+01,1.000000e+02,B,4.662480026200e-01,1.216613e-04
3.1622776602e+01,1.000000e+02,C,4.663047338665e-01,1.216613e-04
3.8311868496e+01,1.000000e+02,A,3.107266523794e-01,1.764809e-04
3.8311868496e+01,1.000000e+02,B,4.662338827849e-01,1.764809e-04
3.8311868496e+01,1.000000e+02,C,4.663161786741e-01,1.764809e-04
4.6415888336e+01,1.000000e+02,A,3.107266436432e-01,2.546847e-04
4.6415888336e+01,1.000000e+02,B,4.662145255863e-01,2.546847e-04
4.6415888336e+01,1.000000e+02,C,4.663332935344e-01,2.546847e-04
5.6234132519e+01,1.000000e+02,A,3.107266364856e-01,3.648767e-04
5.6234132519e+01,1.000000e+02,B,4.661879682067e-01,3.648767e-04
5.6234132519e+01,1.000000e+02,C,4.663581314374e-01,3.648767e-04
6.8129206906e+01,1.000000e+02,A,3.107266308454e-01,5.174702e-04
6.8129206906e+01,1.000000e+02,B,4.661517438614e-01,5.174702e-04
6.8129206906e+01,1.000000e+02,C,4.663930883898e-01,5.174702e-04
8.2540418527e+01,1.000000e+02,A,3.107266265475e-01,7.237969e-04
8.2540418527e+01,1.000000e+02,B,4.661029988970e-01,7.237969e-04
8.2540418527e+01,1.000000e+02,C,4.664406071455e-01,7.237969e-04
1.0000000000e+02,1.000000e+02,A,3.107266233642e-01,9.939861e-04
