# V3 model-limit raw data: V*(Omega) per configuration (production route, continuation, bc free/isothermal)
Omega,V_A,r_A,status_A,V_B,r_B,status_B,V_C,r_C,status_C,V_C_Dw0,r_C_Dw0,status_C_Dw0,V_C_Dw14,r_C_Dw14,status_C_Dw14,V_C_rhow0,r_C_rhow0,status_C_rhow0
5.0118723363e+00,3.107267805952e-01,2.295036e-07,resolved_min,4.662898141062e-01,7.601897e-07,resolved_min,4.662898142136e-01,7.601897e-07,resolved_min,3.107267793442e-01,1.099742e-05,resolved_min,3.107267805910e-01,2.295144e-07,resolved_min,4.662898140986e-01,7.601897e-07,resolved_min
5.6234132519e+00,3.107267743696e-01,2.359293e-07,resolved_min,4.662891528050e-01,8.390624e-07,resolved_min,4.662891526943e-01,8.390624e-07,resolved_min,3.107267733700e-01,9.832917e-06,resolved_min,3.107267743751e-01,2.359389e-07,resolved_min,4.662891528051e-01,8.390624e-07,resolved_min
6.3095734448e+00,3.107267678696e-01,2.419255e-07,resolved_min,4.662884571281e-01,9.251040e-07,resolved_min,4.662884573074e-01,9.251040e-07,resolved_min,3.107267670704e-01,8.795302e-06,resolved_min,3.107267678742e-01,2.419341e-07,resolved_min,4.662884571284e-01,9.251040e-07,resolved_min
7.0794578438e+00,3.107267611025e-01,2.473899e-07,resolved_min,4.662877259538e-01,1.018772e-06,resolved_min,4.662877261715e-01,1.018772e-06,resolved_min,3.107267604607e-01,7.870632e-06,resolved_min,3.107267611043e-01,2.473975e-07,resolved_min,4.662877259533e-01,1.018772e-06,resolved_min
7.9432823472e+00,3.107267540732e-01,2.522119e-07,resolved_min,4.662869582491e-01,1.120514e-06,resolved_min,4.662869585287e-01,1.120514e-06,resolved_min,3.107267535590e-01,7.046460e-06,resolved_min,3.107267540689e-01,2.522187e-07,resolved_min,4.662869582822e-01,1.120514e-06,resolved_min
8.9125093813e+00,3.107267467992e-01,2.562737e-07,resolved_min,4.662861531463e-01,1.230758e-06,resolved_min,4.662861535026e-01,1.230758e-06,resolved_min,3.107267463871e-01,6.311671e-06,resolved_min,3.107267468026e-01,2.562797e-07,resolved_min,4.662861531767e-01,1.230758e-06,resolved_min
1.0000000000e+01,3.107267393024e-01,2.594525e-07,resolved_min,4.662853099455e-01,1.349901e-06,resolved_min,4.662853103844e-01,1.349901e-06,resolved_min,3.107267389717e-01,5.656342e-06,resolved_min,3.107267393017e-01,2.594579e-07,resolved_min,4.662853099453e-01,1.349901e-06,resolved_min
1.1220184543e+01,3.107267316118e-01,2.616235e-07,resolved_min,4.662844281687e-01,1.478294e-06,resolved_min,4.662844287267e-01,1.478294e-06,resolved_min,3.107267313463e-01,5.071614e-06,resolved_min,3.107267316113e-01,2.616283e-07,resolved_min,4.662844281647e-01,1.478294e-06,resolved_min
1.2589254118e+01,3.107267237647e-01,2.626639e-07,resolved_min,4.662835076353e-01,1.616231e-06,resolved_min,4.662835083376e-01,1.616231e-06,resolved_min,3.107267235514e-01,4.549577e-06,resolved_min,3.107267237552e-01,2.626682e-07,resolved_min,4.662835076352e-01,1.616231e-06,resolved_min
1.4125375446e+01,3.107267158075e-01,2.624580e-07,resolved_min,4.662825485304e-01,1.763927e-06,resolved_min,4.662825494102e-01,1.763928e-06,resolved_min,3.107267156361e-01,4.083177e-06,resolved_min,3.107267157980e-01,2.624619e-07,resolved_min,4.662825485262e-01,1.763927e-06,resolved_min
