figure,t_hat,T_published,T_phase5
fig5,0.5705066150371088,0.9151300150829562,0.9117074824880147
fig5,0.5730880929332043,0.9155792469690514,0.9124448836658982
fig5,0.5756695708292998,0.9160245987828457,0.9131762219474076
fig5,0.5782510487253952,0.9168099279131307,0.9139015461120445
fig5,0.5808325266214908,0.9140491643523387,0.9146209046404747
fig5,0.5834140045175863,0.9155759341927879,0.9153343452866498
fig5,0.5859954824136818,0.9163418342663625,0.916041915805683
fig5,0.5885769603097774,0.9171167788886622,0.9167436633495367
fig5,0.5911584382058729,0.9175579886341808,0.9174396349590427
fig5,0.5937399161019684,0.9183422648952402,0.9181298768555468
fig5,0.5963213939980639,0.9191321499013807,0.9188144352846807
fig5,0.6014843497902549,0.9203474206525875,0.9201666848874234
fig5,0.6040658276863504,0.9210861167916382,0.9208344664194081
fig5,0.606647305582446,0.9218442831289777,0.9214967455254252
fig5,0.6092287834785415,0.9222876588049876,0.9221535665095311
fig5,0.611810261374637,0.9230784847448469,0.9228049733950032
fig5,0.6143917392707325,0.923523161920952,0.9234510100389384
fig5,0.616973217166828,0.9242679978600075,0.9240917196803571
fig5,0.6195546950629235,0.9250096985882938,0.9247271450760797
fig5,0.622136172959019,0.9293531040280616,0.9253573293942133
fig5,0.6247176508551145,0.9286583179943523,0.9259823145008245
fig5,0.6272991287512101,0.9294179410273449,0.9266021424693647
fig5,0.6298806066473056,0.9301652274938403,0.9272168553139505
fig5,0.6324620845434011,0.9309124454026063,0.9278264940056843
fig5,0.6350435624394967,0.9310370914891098,0.9284310996854436
fig5,0.6376250403355921,0.9317903800844756,0.9290307130664411
fig5,0.6402065182316876,0.9325349119778827,0.9296253745477667
fig5,0.6427879961277831,0.9332831997133099,0.9302151242649886
fig5,0.6453694740238787,0.933396199360971,0.9308000016228392
fig5,0.6479509519199742,0.9341442186683476,0.9313800464519473
fig5,0.6505324298160697,0.9348963601337217,0.9319552977657941
fig5,0.6531139077121653,0.9356202722969764,0.9325257942416076
fig5,0.6556953856082607,0.9357510109522527,0.9330915744914247
fig5,0.6582768635043562,0.9364841841090406,0.9336526767256523
fig5,0.6608583414004517,0.9372229002349769,0.9342091388476619
fig5,0.6634398192965473,0.9372989180360134,0.9347609985928016
fig5,0.6660212971926428,0.9353560554456746,0.935308293068018
fig5,0.6686027750887383,0.9360563678745497,0.9358510594596853
fig5,0.6711842529848339,0.9364910288475223,0.9363893343162188
fig5,0.6737657308809293,0.936943502754872,0.9369231543360128
fig5,0.6763472087770248,0.9376314352884376,0.9374525554181362
fig5,0.6789286866731203,0.9380708002654776,0.9379775735619771
fig5,0.6815101645692159,0.9385138448461865,0.9384982444433808
fig5,0.6840916424653114,0.9392145066561179,0.9390146031126464
fig5,0.6866731203614069,0.9396468355551826,0.9395266847875845
fig5,0.6892545982575025,0.9400756308236414,0.9400345241724101
fig5,0.691836076153598,0.940770760598163,0.94053815584989
fig5,0.6944175540496934,0.9412213229467798,0.9410376139154328
fig5,0.6969990319457889,0.9416210322564837,0.9415329322392587
fig5,0.6995805098418845,0.9420090299784065,0.9420241445677981
fig5,0.70216198773798,0.9424704869701896,0.9425112842857609
fig5,0.7047434656340755,0.9431578918652012,0.9429943845361908
fig5,0.7073249435301711,0.946839403025046,0.9434734782993786
fig5,0.7099064214262666,0.9467138887689139,0.9439485979908424
fig5,0.712487899322362,0.9468244389246245,0.9444197760206278
fig5,0.7150693772184575,0.9475374524104399,0.9448870446436133
fig5,0.7176508551145531,0.9482435654162409,0.9453504354267167
fig5,0.7202323330106486,0.9483568360707109,0.9458099802481243
fig5,0.7228138109067441,0.9490548516624135,0.9462657103154682
fig5,0.7253952888028397,0.949170719054147,0.9467176567349842
fig5,0.7279767666989352,0.9498758828393128,0.9471658502405094
fig5,0.7305582445950306,0.9499803697230469,0.9476103215966418
fig5,0.7331397224911261,0.9506789358213628,0.9480511010949573
fig5,0.7357212003872217,0.9510809794488477,0.9484882188696376
fig5,0.7383026782833172,0.9514877495942584,0.9489217047355567
fig5,0.7408841561794127,0.9521917376222012,0.94935158849405
fig5,0.7434656340755083,0.9522939773726631,0.949777899381725
fig5,0.7460471119716038,0.9529846623750593,0.9502006665885887
fig5,0.7486285898676993,0.9530922368695206,0.9506199190925106
fig5,0.7512100677637947,0.9510850843018674,0.9510356857462372
fig5,0.7537915456598903,0.9514799111649506,0.9514479947457462
fig5,0.7563730235559858,0.9518836630811254,0.9518568744951452
