tau_q_or_tag,t_hat,T_or_spread_B1,T_or_spread_B105
0.03,0.9127192982456139,0.9997010079830327,0.9996523002399849
0.03,0.9152130325814536,0.9997082770209706,0.9996605828532092
0.03,0.9177067669172931,0.9997153693275951,0.9996686681537434
0.03,0.9202005012531328,0.9997222891951822,0.9996765608596474
0.03,0.9226942355889723,0.9997290408213761,0.9996842655195044
0.03,0.925187969924812,0.9997356283213621,0.9996917866756019
0.03,0.9276817042606516,0.9997420556727583,0.999699128661699
0.03,0.9301754385964912,0.9997483267361631,0.9997062957432423
0.03,0.9326691729323308,0.9997544453859419,0.999713292142893
0.03,0.9351629072681703,0.9997604152308583,0.9997201218166869
0.03,0.93765664160401,0.9997662399902469,0.9997267888666865
0.03,0.9401503759398495,0.9997719230712194,0.9997332970090742
0.03,0.9426441102756892,0.9997774680666345,0.9997396502211425
0.03,0.9451378446115287,0.9997828781940017,0.9997458520399913
0.03,0.9476315789473684,0.9997881567968372,0.9997519061093906
0.03,0.9501253132832079,0.9997933070877104,0.9997578159840796
0.03,0.9526190476190476,0.9997983321511126,0.9997635850850164
0.03,0.9551127819548871,0.999803235012387,0.9997692167142769
0.03,0.9576065162907268,0.9998080187985996,0.9997747143225024
0.03,0.9601002506265663,0.9998126861419863,0.9997800808083646
0.03,0.962593984962406,0.9998172400860661,0.9997853195398514
0.03,0.9650877192982455,0.9998216832890913,0.9997904334714915
0.03,0.9675814536340851,0.999826018473699,0.9997954255666035
0.03,0.9700751879699248,0.9998302483226793,0.999800298802795
0.03,0.9725689223057643,0.9998343752689232,0.9998050558949162
0.03,0.975062656641604,0.9998384018636703,0.9998096996639018
0.03,0.9775563909774435,0.9998423306500006,0.9998142328680149
0.03,0.9800501253132832,0.999846163841579,0.9998186580265033
0.03,0.9825438596491227,0.9998499038425858,0.9998229777655883
0.03,0.9850375939849624,0.9998535529782933,0.9998271946614591
0.03,0.9875313283208019,0.9998571133182375,0.9998313110467666
0.03,0.9900250626566416,0.9998605871930316,0.9998353294434097
0.03,0.9925187969924811,0.9998639765632513,0.9998392520836974
0.03,0.9950125313283207,0.9998672835228226,0.9998430812682251
0.03,0.9975062656641603,0.99987051010775,0.9998468192461927
0.03,1.0,0.9998736582454772,0.9998504682140112
0.3,0.005,1.5603162391502437e-27,1.887641630287311e-26
0.3,0.007493734335839599,2.2231199887489857e-19,1.2127217049440887e-18
0.3,0.009987468671679198,4.1073134573440444e-15,1.5011765973302534e-14
0.3,0.012481203007518798,1.914666447586382e-12,5.495274384973745e-12
0.3,0.014974937343358394,1.3515224860794652e-10,3.298125091224451e-10
0.3,0.017468671679197995,3.157513624877658e-09,6.856216488173246e-09
0.3,0.019962406015037595,3.633706659082719e-08,7.223235751429481e-08
0.3,0.02245614035087719,2.578260824224531e-07,4.781680189203356e-07
0.3,0.02494987468671679,1.293219403085646e-06,2.267524466253422e-06
0.3,0.02744360902255639,5.008903013089968e-06,8.383504547346764e-06
0.3,0.029937343358395988,1.5902819164463378e-05,2.5590842652182857e-05
0.3,0.03243107769423559,4.315901365955619e-05,6.714353056629105e-05
0.3,0.034924812030075185,0.00010320850454956332,0.0001558991680824421
0.3,0.03741854636591478,0.00022243509302194634,0.00032735481733323145
0.3,0.03991228070175438,0.00043952595764152583,0.0006319645146211322
0.3,0.04240601503759398,0.0008069338548775093,0.0011361268557803662
0.3,0.04489974937343358,0.001391001044236824,0.0019213969424455204
0.3,0.047393483709273175,0.0022704785720710783,0.003081746022214737
0.3,0.04988721804511278,0.0035334229506437283,0.004719012100609323
0.3,0.052380952380952375,0.005272719700460731,0.006936996752003862
0.3,0.05487468671679197,0.007580721904679909,0.00983491177520269
0.3,0.057368421052631575,0.010543658482866126,0.01350101754614877
0.3,0.05986215538847117,0.014236521936032854,0.018007280876436684
0.3,0.06235588972431077,0.01871905537923826,0.023405684076922388
0.3,0.06484962406015038,0.02403322821322134,0.029726472593754136
0.3,0.06734335839598997,0.03020229139938464,0.03697825504569702
0.3,0.06983709273182957,0.03723124054986372,0.04514959405969279
0.3,0.07233082706766918,0.04510835518968025,0.05421160338301975
0.3,0.07482456140350877,0.05380743326908778,0.06412107496555439
0.3,0.07731829573934837,0.06329037091821449,0.07482374499102679
0.3,0.07981203007518797,0.07350980953532583,0.08625741987987057
0.3,0.08230576441102756,0.08441165488926058,0.09835478972316988
0.3,0.08479949874686717,0.09593734786502173,0.11104584238236495
0.3,0.08729323308270677,0.10802582600674708,0.12425985310662767
0.3,0.08978696741854636,0.1206151578448752,0.13792696446925717
0.3,0.09228070175438596,0.13364386013756635,0.15197939440943167
0.3,0.09477443609022557,0.14705192477822598,0.166352321044546
0.3,0.09726817042606516,0.16078159041057213,0.1809844958082655
0.3,0.09976190476190476,0.17477789646032993,0.19581863450406925
0.3,0.10225563909774436,0.18898905643057914,0.21080163125679802
0.3,0.10474937343358395,0.20336668442520067,0.22588463456724556
0.3,0.10724310776942356,0.21786590499405287,0.24102301864606557
0.3,0.10973684210526316,0.23244537220113223,0.2561762774572743
0.3,0.11223057644110275,0.2470672197117989,0.2713078637159053
0.3,0.11472431077694235,0.26169695990088493,0.28638499056982214
0.3,0.11721804511278196,0.2763033466141491,0.3013784098717104
0.3,0.11971177944862155,0.29085821330015005,0.3162621777686951
0.3,0.12220551378446115,0.30533629576226085,0.3310134157411518
0.3,0.12469924812030075,0.3197150467258105,0.3456120731306418
0.3,0.12719298245614033,0.33397444772632545,0.36004069552957885
0.3,0.12968671679197993,0.3480968224534615,0.3742842020962037
0.3,0.13218045112781954,0.3620666545853398,0.3883296738360054
0.3,0.13467418546365914,0.37587041227119633,0.4021661541106024
0.3,0.13716791979949874,0.3894963807306412,0.41578446203445024
0.3,0.13966165413533835,0.40293450390332786,0.429177018981203
0.3,0.14215538847117795,0.41617623566728895,0.4423376880914452
0.3,0.14464912280701753,0.42921440083084117,0.4552616264415257
0.3,0.14714285714285713,0.44204306587057146,0.46794514937196363
0.3,0.14963659147869673,0.45465741921422637,0.48038560637007255
0.3,0.15213032581453634,0.46705366074627674,0.49258126783172684
0.3,0.15462406015037594,0.4792289001301603,0.5045312220019783
0.3,0.15711779448621555,0.49118106348834145,0.5162352813799624
0.3,0.15961152882205512,0.5029088079506451,0.527693897884062
0.3,0.16210526315789472,0.5144114435661387,0.5389080860921772
0.3,0.16459899749373433,0.5256888620753153,0.5498793538998169
